Context,Code,Occupation
100,27-2032.00,Choreographers
100,29-2021.00,Dental Hygienists
100,29-1123.00,Physical Therapists
100,29-1069.11,Sports Medicine Physicians
99,31-9091.00,Dental Assistants
99,29-1021.00,"Dentists, General"
99,29-1022.00,Oral and Maxillofacial Surgeons
99,39-5094.00,Skincare Specialists
99,29-2055.00,Surgical Technologists
99,29-1069.12,Urologists
98,27-2031.00,Dancers
98,29-1069.02,Dermatologists
98,29-1024.00,Prosthodontists
98,29-1124.00,Radiation Therapists
98,29-2054.00,Respiratory Therapy Technicians
97,29-2031.00,Cardiovascular Technologists and Technicians
97,29-2041.00,Emergency Medical Technicians and Paramedics
97,29-1161.00,Nurse Midwives
97,29-1064.00,Obstetricians and Gynecologists
97,31-1015.00,Orderlies
97,29-1067.00,Surgeons
97,29-2099.07,Surgical Assistants
96,29-1011.00,Chiropractors
96,53-2031.00,Flight Attendants
96,29-2099.06,Radiologic Technicians
95,27-2011.00,Actors
95,29-1141.01,Acute Care Nurses
95,39-5011.00,Barbers
95,29-2032.00,Diagnostic Medical Sonographers
95,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
95,29-1122.00,Occupational Therapists
95,31-2022.00,Physical Therapist Aides
95,29-1081.00,Podiatrists
94,29-1061.00,Anesthesiologists
94,29-1141.03,Critical Care Nurses
94,29-9099.01,Midwives
94,29-2099.01,Neurodiagnostic Technologists
94,29-2099.05,Ophthalmic Medical Technologists
94,31-2021.00,Physical Therapist Assistants
94,29-1141.00,Registered Nurses
94,27-2042.01,Singers
93,29-9091.00,Athletic Trainers
93,29-1128.00,Exercise Physiologists
93,29-1126.00,Respiratory Therapists
93,53-6061.00,"Transportation Attendants, Except Flight Attendants"
92,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
92,29-1069.03,Hospitalists
92,29-1069.06,Ophthalmologists
92,29-1023.00,Orthodontists
92,29-2056.00,Veterinary Technologists and Technicians
91,29-1199.01,Acupuncturists
91,29-1062.00,Family and General Practitioners
91,31-1014.00,Nursing Assistants
91,31-2012.00,Occupational Therapy Aides
91,29-1199.05,Orthoptists
91,29-1069.08,Physical Medicine and Rehabilitation Physicians
91,39-5093.00,Shampooers
91,29-1131.00,Veterinarians
90,25-2059.01,Adapted Physical Education Specialists
90,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
90,29-2061.00,Licensed Practical and Licensed Vocational Nurses
90,39-5092.00,Manicurists and Pedicurists
90,29-2057.00,Ophthalmic Medical Technicians
90,29-1041.00,Optometrists
89,29-1063.00,"Internists, General"
89,31-9011.00,Massage Therapists
89,33-2011.01,Municipal Firefighters
89,29-1065.00,"Pediatricians, General"
89,31-1013.00,Psychiatric Aides
89,29-2034.00,Radiologic Technologists
89,47-5071.00,"Roustabouts, Oil and Gas"
88,29-1071.01,Anesthesiologist Assistants
88,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
88,39-3011.00,Gaming Dealers
88,31-9092.00,Medical Assistants
88,29-1125.02,Music Therapists
88,29-1199.04,Naturopathic Physicians
88,29-2091.00,Orthotists and Prosthetists
88,29-1071.00,Physician Assistants
88,25-9041.00,Teacher Assistants
88,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
87,47-5011.00,"Derrick Operators, Oil and Gas"
87,39-1021.00,First-Line Supervisors of Personal Service Workers
87,29-1151.00,Nurse Anesthetists
87,47-2151.00,Pipelayers
87,25-2051.00,"Special Education Teachers, Preschool"
87,47-2221.00,Structural Iron and Steel Workers
86,47-2051.00,Cement Masons and Concrete Finishers
86,25-2012.00,"Kindergarten Teachers, Except Special Education"
86,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
86,39-5091.00,"Makeup Artists, Theatrical and Performance"
86,29-2033.00,Nuclear Medicine Technologists
86,39-9021.00,Personal Care Aides
86,33-9093.00,Transportation Security Screeners
85,39-3012.00,Gaming and Sports Book Writers and Runners
85,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
85,29-1171.00,Nurse Practitioners
85,29-2053.00,Psychiatric Technicians
85,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
84,29-1069.01,Allergists and Immunologists
84,39-3091.00,Amusement and Recreation Attendants
84,53-3022.00,"Bus Drivers, School or Special Client"
84,39-1011.00,Gaming Supervisors
84,45-2041.00,"Graders and Sorters, Agricultural Products"
84,31-1011.00,Home Health Aides
84,29-1125.00,Recreational Therapists
84,43-5081.01,"Stock Clerks, Sales Floor"
83,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
83,47-2021.00,Brickmasons and Blockmasons
83,13-1041.06,Coroners
83,31-9099.02,Endoscopy Technicians
83,51-2091.00,Fiberglass Laminators and Fabricators
83,39-9031.00,Fitness Trainers and Aerobics Instructors
83,29-2081.00,"Opticians, Dispensing"
83,29-2052.00,Pharmacy Technicians
83,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
82,53-2021.00,Air Traffic Controllers
82,39-9011.00,Childcare Workers
82,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
82,27-2042.02,"Musicians, Instrumental"
82,31-2011.00,Occupational Therapy Assistants
82,31-9095.00,Pharmacy Aides
82,43-5051.00,Postal Service Clerks
82,39-1021.01,Spa Managers
82,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
81,35-1011.00,Chefs and Head Cooks
81,53-2012.00,Commercial Pilots
81,47-2031.01,Construction Carpenters
81,35-2014.00,"Cooks, Restaurant"
81,33-3012.00,Correctional Officers and Jailers
81,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
81,25-2053.00,"Special Education Teachers, Middle School"
81,25-3099.02,Tutors
80,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
80,33-3011.00,Bailiffs
80,29-1141.04,Clinical Nurse Specialists
80,47-5081.00,Helpers--Extraction Workers
80,33-3021.05,Immigration and Customs Inspectors
80,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
80,47-5012.00,"Rotary Drill Operators, Oil and Gas"
80,39-1012.00,Slot Supervisors
80,47-2022.00,Stonemasons
79,35-3011.00,Bartenders
79,25-2021.00,"Elementary School Teachers, Except Special Education"
79,39-4021.00,Funeral Attendants
79,29-2092.00,Hearing Aid Specialists
79,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
79,53-5022.00,Motorboat Operators
79,29-1069.04,Neurologists
79,47-2031.02,Rough Carpenters
79,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
79,33-3051.03,Sheriffs and Deputy Sheriffs
79,21-1093.00,Social and Human Service Assistants
79,29-1127.00,Speech-Language Pathologists
79,53-3041.00,Taxi Drivers and Chauffeurs
79,33-3052.00,Transit and Railroad Police
79,49-9081.00,Wind Turbine Service Technicians
78,39-6011.00,Baggage Porters and Bellhops
78,53-3021.00,"Bus Drivers, Transit and Intercity"
78,25-2023.00,"Career/Technical Education Teachers, Middle School"
78,33-9091.00,Crossing Guards
78,11-9051.00,Food Service Managers
78,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
78,47-1011.03,Solar Energy Installation Managers
78,31-9099.01,Speech-Language Pathology Assistants
78,35-3031.00,Waiters and Waitresses
77,29-1141.02,Advanced Practice Psychiatric Nurses
77,51-3021.00,Butchers and Meat Cutters
77,25-2032.00,"Career/Technical Education Teachers, Secondary School"
77,53-3031.00,Driver/Sales Workers
77,33-1012.00,First-Line Supervisors of Police and Detectives
77,43-3041.00,Gaming Cage Workers
77,47-3012.00,Helpers--Carpenters
77,51-8099.04,Hydroelectric Plant Technicians
77,31-9093.00,Medical Equipment Preparers
77,49-9044.00,Millwrights
77,49-9096.00,Riggers
77,47-5061.00,"Roof Bolters, Mining"
77,47-2181.00,Roofers
77,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
77,41-9041.00,Telemarketers
76,25-1031.00,"Architecture Teachers, Postsecondary"
76,21-1094.00,Community Health Workers
76,39-3092.00,Costume Attendants
76,33-3031.00,Fish and Game Wardens
76,11-9071.00,Gaming Managers
76,21-1022.00,Healthcare Social Workers
76,37-3011.00,Landscaping and Groundskeeping Workers
76,29-2035.00,Magnetic Resonance Imaging Technologists
76,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
76,43-4051.03,Patient Representatives
76,31-9097.00,Phlebotomists
76,33-3021.02,Police Identification and Records Officers
76,25-2011.00,"Preschool Teachers, Except Special Education"
76,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
76,25-3021.00,Self-Enrichment Education Teachers
76,43-3071.00,Tellers
76,25-1194.00,"Vocational Education Teachers, Postsecondary"
75,35-3022.01,Baristas
75,41-2011.00,Cashiers
75,49-9092.00,Commercial Divers
75,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
75,47-2111.00,Electricians
74,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
74,27-2022.00,Coaches and Scouts
74,51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
74,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
74,47-4031.00,Fence Erectors
74,33-2021.02,Fire Investigators
74,33-2011.02,Forest Firefighters
74,53-5021.02,"Mates- Ship, Boat, and Barge"
74,25-2054.00,"Special Education Teachers, Secondary School"
73,29-1125.01,Art Therapists
73,47-2061.00,Construction Laborers
73,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
73,49-9051.00,Electrical Power-Line Installers and Repairers
73,27-1023.00,Floral Designers
73,51-3093.00,Food Cooking Machine Operators and Tenders
73,33-1021.02,Forest Fire Fighting and Prevention Supervisors
73,43-4111.00,"Interviewers, Except Eligibility and Loan"
73,43-4121.00,"Library Assistants, Clerical"
73,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
73,49-9043.00,"Maintenance Workers, Machinery"
73,49-9095.00,Manufactured Building and Mobile Home Installers
73,49-9011.00,Mechanical Door Repairers
73,51-8011.00,Nuclear Power Reactor Operators
73,19-1031.03,Park Naturalists
73,53-6021.00,Parking Lot Attendants
73,47-2072.00,Pile-Driver Operators
73,47-2152.01,Pipe Fitters and Steamfitters
73,33-3051.01,Police Patrol Officers
73,33-9099.02,Retail Loss Prevention Specialists
73,49-9097.00,Signal and Track Switch Repairers
73,51-3023.00,Slaughterers and Meat Packers
72,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
72,35-3041.00,"Food Servers, Nonrestaurant"
72,49-9041.00,Industrial Machinery Mechanics
72,29-2011.00,Medical and Clinical Laboratory Technologists
72,13-1121.00,"Meeting, Convention, and Event Planners"
72,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
72,19-4051.01,Nuclear Equipment Operation Technicians
72,29-1051.00,Pharmacists
72,39-9032.00,Recreation Workers
72,53-5031.00,Ship Engineers
72,43-3021.01,Statement Clerks
72,39-7011.00,Tour Guides and Escorts
71,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
71,33-1011.00,First-Line Supervisors of Correctional Officers
71,43-5081.02,Marking Clerks
71,51-9082.00,Medical Appliance Technicians
71,43-6013.00,Medical Secretaries
71,51-4061.00,"Model Makers, Metal and Plastic"
71,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
71,53-5021.03,"Pilots, Ship"
71,33-3021.01,Police Detectives
71,27-3012.00,Public Address System and Other Announcers
71,41-9022.00,Real Estate Sales Agents
71,47-2171.00,Reinforcing Iron and Rebar Workers
71,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
71,27-2023.00,"Umpires, Referees, and Other Sports Officials"
70,51-9191.00,Adhesive Bonding Machine Operators and Tenders
70,35-2012.00,"Cooks, Institution and Cafeteria"
70,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
70,45-3011.00,Fishers and Related Fishing Workers
70,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
70,41-2012.00,Gaming Change Persons and Booth Cashiers
70,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
70,43-4031.03,License Clerks
70,13-1041.02,Licensing Examiners and Inspectors
70,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
70,19-4051.02,Nuclear Monitoring Technicians
70,53-7064.00,"Packers and Packagers, Hand"
70,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
69,47-2011.00,Boilermakers
69,43-4041.02,Credit Checkers
69,29-1031.00,Dietitians and Nutritionists
69,51-2031.00,Engine and Other Machine Assemblers
69,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
69,35-2021.00,Food Preparation Workers
69,51-4071.00,Foundry Mold and Coremakers
69,47-2121.00,Glaziers
69,49-9071.00,"Maintenance and Repair Workers, General"
69,29-1069.05,Nuclear Medicine Physicians
69,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
69,41-2031.00,Retail Salespersons
69,53-5011.00,Sailors and Marine Oilers
69,53-5021.01,Ship and Boat Captains
69,27-4014.00,Sound Engineering Technicians
68,45-2011.00,Agricultural Inspectors
68,53-1011.00,Aircraft Cargo Handling Supervisors
68,43-4011.00,Brokerage Clerks
68,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
68,41-2021.00,Counter and Rental Clerks
68,33-3021.03,Criminal Investigators and Special Agents
68,19-4092.00,Forensic Science Technicians
68,19-4093.00,Forest and Conservation Technicians
68,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
68,47-4051.00,Highway Maintenance Workers
68,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
68,39-9011.01,Nannies
68,27-4021.00,Photographers
68,33-9032.00,Security Guards
68,47-2231.00,Solar Photovoltaic Installers
68,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
68,43-2021.00,Telephone Operators
68,47-4099.03,Weatherization Installers and Technicians
67,29-1181.00,Audiologists
67,41-9011.00,Demonstrators and Product Promoters
67,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
67,45-4011.00,Forest and Conservation Workers
67,47-4041.00,Hazardous Materials Removal Workers
67,47-3013.00,Helpers--Electricians
67,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
67,49-9031.00,Home Appliance Repairers
67,53-3033.00,Light Truck or Delivery Services Drivers
67,27-1026.00,Merchandise Displayers and Window Trimmers
67,41-2022.00,Parts Salespersons
67,29-1066.00,Psychiatrists
67,41-3031.03,Securities and Commodities Traders
67,47-2211.00,Sheet Metal Workers
67,53-4041.00,Subway and Streetcar Operators
67,27-2012.05,Technical Directors/Managers
67,47-2053.00,Terrazzo Workers and Finishers
66,53-2022.00,Airfield Operations Specialists
66,49-2091.00,Avionics Technicians
66,35-2015.00,"Cooks, Short Order"
66,17-3029.03,Electromechanical Engineering Technologists
66,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
66,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
66,13-1074.00,Farm Labor Contractors
66,45-1011.06,First-Line Supervisors of Aquacultural Workers
66,41-1011.00,First-Line Supervisors of Retail Sales Workers
66,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
66,11-9039.02,Fitness and Wellness Coordinators
66,53-7071.00,Gas Compressor and Gas Pumping Station Operators
66,49-9021.01,Heating and Air Conditioning Mechanics and Installers
66,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
66,27-3091.00,Interpreters and Translators
66,39-2021.00,Nonfarm Animal Caretakers
66,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
66,51-8012.00,Power Distributors and Dispatchers
66,51-2092.00,Team Assemblers
66,49-9064.00,Watch Repairers
65,49-3091.00,Bicycle Repairers
65,27-3021.00,Broadcast News Analysts
65,43-5011.00,Cargo and Freight Agents
65,39-6012.00,Concierges
65,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
65,35-2011.00,"Cooks, Fast Food"
65,29-2051.00,Dietetic Technicians
65,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
65,51-1011.00,First-Line Supervisors of Production and Operating Workers
65,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
65,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
65,29-2012.00,Medical and Clinical Laboratory Technicians
65,29-9011.00,Occupational Health and Safety Specialists
65,49-3043.00,Rail Car Repairers
65,49-3093.00,Tire Repairers and Changers
64,23-1022.00,"Arbitrators, Mediators, and Conciliators"
64,51-8091.00,Chemical Plant and System Operators
64,15-1151.00,Computer User Support Specialists
64,47-4011.00,Construction and Building Inspectors
64,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
64,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
64,47-4021.00,Elevator Installers and Repairers
64,39-4011.00,Embalmers
64,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
64,21-1091.00,Health Educators
64,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
64,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
64,41-9012.00,Models
64,49-3051.00,Motorboat Mechanics and Service Technicians
64,17-3029.12,Nanotechnology Engineering Technicians
64,43-9061.00,"Office Clerks, General"
64,47-2141.00,"Painters, Construction and Maintenance"
64,51-4062.00,"Patternmakers, Metal and Plastic"
64,27-2012.01,Producers
64,49-9052.00,Telecommunications Line Installers and Repairers
64,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
64,47-2044.00,Tile and Marble Setters
63,19-3091.02,Archeologists
63,17-3027.01,Automotive Engineering Technicians
63,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
63,29-2011.01,Cytogenetic Technologists
63,35-9021.00,Dishwashers
63,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
63,29-2011.03,Histotechnologists and Histologic Technicians
63,11-9013.01,Nursery and Greenhouse Managers
63,51-9083.00,Ophthalmic Laboratory Technicians
63,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
63,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
63,49-2021.01,Radio Mechanics
63,29-1069.10,Radiologists
63,53-4031.00,Railroad Conductors and Yardmasters
63,49-2098.00,Security and Fire Alarm Systems Installers
63,47-4091.00,Segmental Pavers
63,43-2011.00,"Switchboard Operators, Including Answering Service"
63,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
62,39-2011.00,Animal Trainers
62,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
62,19-3031.02,Clinical Psychologists
62,43-4031.01,Court Clerks
62,17-3024.00,Electro-Mechanical Technicians
62,47-2043.00,Floor Sanders and Finishers
62,47-3016.00,Helpers--Roofers
62,25-4031.00,Library Technicians
62,49-9094.00,Locksmiths and Safe Repairers
62,19-4099.01,Quality Control Analysts
62,27-4013.00,Radio Operators
62,39-9041.00,Residential Advisors
62,51-6031.00,Sewing Machine Operators
62,53-7121.00,"Tank Car, Truck, and Ship Loaders"
62,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
62,51-6093.00,Upholsterers
61,23-2091.00,Court Reporters
61,47-2081.00,Drywall and Ceiling Tile Installers
61,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
61,25-1191.00,Graduate Teaching Assistants
61,51-9022.00,"Grinding and Polishing Workers, Hand"
61,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
61,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
61,41-3021.00,Insurance Sales Agents
61,17-2199.05,Mechatronics Engineers
61,19-1022.00,Microbiologists
61,51-9195.07,Molding and Casting Workers
61,27-2041.01,Music Directors
61,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
61,47-2161.00,Plasterers and Stucco Masons
61,51-9071.07,Precious Metal Workers
61,51-6042.00,Shoe Machine Operators and Tenders
60,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
60,27-4011.00,Audio and Video Equipment Technicians
60,53-6031.00,Automotive and Watercraft Service Attendants
60,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
60,17-3023.03,Electrical Engineering Technicians
60,33-2021.01,Fire Inspectors
60,43-5011.01,Freight Forwarders
60,11-9061.00,Funeral Service Managers
60,15-1121.01,Informatics Nurse Specialists
60,51-9071.01,Jewelers
60,17-3027.00,Mechanical Engineering Technicians
60,17-3029.01,Non-Destructive Testing Specialists
60,47-2152.02,Plumbers
60,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
60,21-1015.00,Rehabilitation Counselors
60,51-9141.00,Semiconductor Processors
60,47-4099.02,Solar Thermal Installers and Technicians
60,51-8021.00,Stationary Engineers and Boiler Operators
60,51-2041.00,Structural Metal Fabricators and Fitters
59,27-1011.00,Art Directors
59,27-2021.00,Athletes and Sports Competitors
59,25-9011.00,Audio-Visual and Multimedia Collections Specialists
59,43-9111.01,Bioinformatics Technicians
59,47-2041.00,Carpet Installers
59,47-5041.00,Continuous Mining Machine Operators
59,51-2022.00,Electrical and Electronic Equipment Assemblers
59,51-2023.00,Electromechanical Equipment Assemblers
59,13-1199.01,Energy Auditors
59,53-6051.08,Freight and Cargo Inspectors
59,47-2132.00,"Insulation Workers, Mechanical"
59,53-7033.00,"Loading Machine Operators, Underground Mining"
59,43-4141.00,New Accounts Clerks
59,51-9111.00,Packaging and Filling Machine Operators and Tenders
59,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
59,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
59,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
59,13-1151.00,Training and Development Specialists
59,37-3013.00,Tree Trimmers and Pruners
59,17-2199.02,Validation Engineers
58,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
58,13-2021.01,Assessors
58,19-4031.00,Chemical Technicians
58,51-2021.00,"Coil Winders, Tapers, and Finishers"
58,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
58,43-4051.00,Customer Service Representatives
58,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
58,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
58,49-9093.00,"Fabric Menders, Except Garment"
58,53-7041.00,Hoist and Winch Operators
58,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
58,13-1081.00,Logisticians
58,11-9199.08,Loss Prevention Managers
58,17-2121.02,Marine Architects
58,21-1013.00,Marriage and Family Therapists
58,25-1022.00,"Mathematical Science Teachers, Postsecondary"
58,17-2141.00,Mechanical Engineers
58,21-1014.00,Mental Health Counselors
